"cell_value","geo_level_code","data_type_code","time"
2,"SO","HVR","2017-Q1"
1.7,"US","HVR","2017-Q1"
63.6,"US","HOR","2017-Q1"
7,"US","RVR","2017-Q1"
0.5,"US","E_HOR","2017-Q1"
0.3,"US","E_RVR","2017-Q1"
0.1,"US","E_HVR","2017-Q1"
63.6,"US","SAHOR","2017-Q1"
4.7,"WE","RVR","2017-Q1"
1.4,"WE","HVR","2017-Q1"
59,"WE","HOR","2017-Q1"
1.4,"MW","HVR","2017-Q2"
8,"MW","RVR","2017-Q2"
68,"MW","HOR","2017-Q2"
5.2,"NE","RVR","2017-Q2"
1.6,"NE","HVR","2017-Q2"
60.4,"NE","HOR","2017-Q2"
1.8,"SO","HVR","2017-Q2"
65.5,"SO","HOR","2017-Q2"
9,"SO","RVR","2017-Q2"
7.3,"US","RVR","2017-Q2"
1.5,"US","HVR","2017-Q2"
63.7,"US","HOR","2017-Q2"
0.5,"US","E_HOR","2017-Q2"
0.3,"US","E_RVR","2017-Q2"
0.1,"US","E_HVR","2017-Q2"
63.9,"US","SAHOR","2017-Q2"
1.3,"WE","HVR","2017-Q2"
58.9,"WE","HOR","2017-Q2"
6,"WE","RVR","2017-Q2"
5.5,"NE","RVR","2017-Q3"
8.1,"MW","RVR","2017-Q3"
1.4,"MW","HVR","2017-Q3"
69.1,"MW","HOR","2017-Q3"
1.9,"NE","HVR","2017-Q3"
60.4,"NE","HOR","2017-Q3"
9.4,"SO","RVR","2017-Q3"
1.8,"SO","HVR","2017-Q3"
65.5,"SO","HOR","2017-Q3"
7.5,"US","RVR","2017-Q3"
1.6,"US","HVR","2017-Q3"
63.9,"US","HOR","2017-Q3"
0.5,"US","E_HOR","2017-Q3"
0.3,"US","E_RVR","2017-Q3"
0.1,"US","E_HVR","2017-Q3"
63.9,"US","SAHOR","2017-Q3"
5.8,"WE","RVR","2017-Q3"
1.2,"WE","HVR","2017-Q3"
58.9,"WE","HOR","2017-Q3"
5.5,"NE","RVR","2017-Q4"
7.6,"MW","RVR","2017-Q4"
1.5,"MW","HVR","2017-Q4"
68.7,"MW","HOR","2017-Q4"
60.6,"NE","HOR","2017-Q4"
2,"NE","HVR","2017-Q4"
8.8,"SO","RVR","2017-Q4"
1.7,"SO","HVR","2017-Q4"
65.8,"SO","HOR","2017-Q4"
6.9,"US","RVR","2017-Q4"
1.6,"US","HVR","2017-Q4"
64.2,"US","HOR","2017-Q4"
0.5,"US","E_HOR","2017-Q4"
0.3,"US","E_RVR","2017-Q4"
0.1,"US","E_HVR","2017-Q4"
64,"US","SAHOR","2017-Q4"
4.5,"WE","RVR","2017-Q4"
1.1,"WE","HVR","2017-Q4"
60,"WE","HOR","2017-Q4"
7.7,"MW","RVR","2018-Q1"
1.4,"MW","HVR","2018-Q1"
67.9,"MW","HOR","2018-Q1"
5.1,"NE","RVR","2018-Q1"
1.3,"NE","HVR","2018-Q1"
60.5,"NE","HOR","2018-Q1"
8.8,"SO","RVR","2018-Q1"
1.8,"SO","HVR","2018-Q1"
66.3,"SO","HOR","2018-Q1"
1.5,"US","HVR","2018-Q1"
64.2,"US","HOR","2018-Q1"
7,"US","RVR","2018-Q1"
0.5,"US","E_HOR","2018-Q1"
0.3,"US","E_RVR","2018-Q1"
0.1,"US","E_HVR","2018-Q1"
64.2,"US","SAHOR","2018-Q1"
5.2,"WE","RVR","2018-Q1"
1.2,"WE","HVR","2018-Q1"
59.7,"WE","HOR","2018-Q1"
68.3,"MW","HOR","2018-Q2"
1.6,"NE","HVR","2018-Q2"
7.7,"MW","RVR","2018-Q2"
1.1,"MW","HVR","2018-Q2"
4.9,"NE","RVR","2018-Q2"
61.3,"NE","HOR","2018-Q2"
8.4,"SO","RVR","2018-Q2"
1.6,"SO","HVR","2018-Q2"
65.9,"SO","HOR","2018-Q2"
6.8,"US","RVR","2018-Q2"
1.5,"US","HVR","2018-Q2"
64.3,"US","HOR","2018-Q2"
0.5,"US","E_HOR","2018-Q2"
0.2,"US","E_RVR","2018-Q2"
0.1,"US","E_HVR","2018-Q2"
64.5,"US","SAHOR","2018-Q2"
5.1,"WE","RVR","2018-Q2"
1.4,"WE","HVR","2018-Q2"
59.7,"WE","HOR","2018-Q2"
7.6,"MW","RVR","2018-Q3"
1.5,"MW","HVR","2018-Q3"
69,"MW","HOR","2018-Q3"
1.5,"NE","HVR","2018-Q3"
61.5,"NE","HOR","2018-Q3"
6,"NE","RVR","2018-Q3"
8.7,"SO","RVR","2018-Q3"
1.7,"SO","HVR","2018-Q3"
65.4,"SO","HOR","2018-Q3"
7.1,"US","RVR","2018-Q3"
1.6,"US","HVR","2018-Q3"
64.4,"US","HOR","2018-Q3"
0.5,"US","E_HOR","2018-Q3"
0.3,"US","E_RVR","2018-Q3"
0.1,"US","E_HVR","2018-Q3"
64.4,"US","SAHOR","2018-Q3"
5.1,"WE","RVR","2018-Q3"
1.4,"WE","HVR","2018-Q3"
60.2,"WE","HOR","2018-Q3"
7.1,"MW","RVR","2018-Q4"
1.3,"MW","HVR","2018-Q4"
69.3,"MW","HOR","2018-Q4"
5.1,"NE","RVR","2018-Q4"
1.5,"NE","HVR","2018-Q4"
61.3,"NE","HOR","2018-Q4"
8.5,"SO","RVR","2018-Q4"
1.7,"SO","HVR","2018-Q4"
66,"SO","HOR","2018-Q4"
6.6,"US","RVR","2018-Q4"
1.5,"US","HVR","2018-Q4"
64.8,"US","HOR","2018-Q4"
0.1,"US","E_HVR","2018-Q4"
0.5,"US","E_HOR","2018-Q4"
0.2,"US","E_RVR","2018-Q4"
64.6,"US","SAHOR","2018-Q4"
4.5,"WE","RVR","2018-Q4"
1.2,"WE","HVR","2018-Q4"
60.9,"WE","HOR","2018-Q4"
7.6,"MW","RVR","2019-Q1"
1.2,"MW","HVR","2019-Q1"
68.2,"MW","HOR","2019-Q1"
1.2,"NE","HVR","2019-Q1"
60.7,"NE","HOR","2019-Q1"
5,"NE","RVR","2019-Q1"
9.2,"SO","RVR","2019-Q1"
1.7,"SO","HVR","2019-Q1"
66.2,"SO","HOR","2019-Q1"
1.4,"US","HVR","2019-Q1"
64.2,"US","HOR","2019-Q1"
7,"US","RVR","2019-Q1"
0.5,"US","E_HOR","2019-Q1"
0.2,"US","E_RVR","2019-Q1"
0.1,"US","E_HVR","2019-Q1"
64.2,"US","SAHOR","2019-Q1"
4.6,"WE","RVR","2019-Q1"
59.8,"WE","HOR","2019-Q1"
1,"WE","HVR","2019-Q1"
6.8,"MW","RVR","2019-Q2"
1,"MW","HVR","2019-Q2"
68,"MW","HOR","2019-Q2"
5.3,"NE","RVR","2019-Q2"
1.2,"NE","HVR","2019-Q2"
61.2,"NE","HOR","2019-Q2"
8.9,"SO","RVR","2019-Q2"
1.7,"SO","HVR","2019-Q2"
66,"SO","HOR","2019-Q2"
6.8,"US","RVR","2019-Q2"
1.3,"US","HVR","2019-Q2"
64.1,"US","HOR","2019-Q2"
0.5,"US","E_HOR","2019-Q2"
0.2,"US","E_RVR","2019-Q2"
0.1,"US","E_HVR","2019-Q2"
64.3,"US","SAHOR","2019-Q2"
4.8,"WE","RVR","2019-Q2"
1.1,"WE","HVR","2019-Q2"
59.3,"WE","HOR","2019-Q2"
1.3,"MW","HVR","2019-Q3"
7,"MW","RVR","2019-Q3"
69,"MW","HOR","2019-Q3"
5.4,"NE","RVR","2019-Q3"
1.4,"NE","HVR","2019-Q3"
61.7,"NE","HOR","2019-Q3"
8.7,"SO","RVR","2019-Q3"
1.7,"SO","HVR","2019-Q3"
66.2,"SO","HOR","2019-Q3"
6.8,"US","RVR","2019-Q3"
1.4,"US","HVR","2019-Q3"
64.8,"US","HOR","2019-Q3"
0.5,"US","E_HOR","2019-Q3"
0.2,"US","E_RVR","2019-Q3"
0.1,"US","E_HVR","2019-Q3"
64.7,"US","SAHOR","2019-Q3"
4.8,"WE","RVR","2019-Q3"
1.2,"WE","HVR","2019-Q3"
60.6,"WE","HOR","2019-Q3"
6.8,"MW","RVR","2019-Q4"
1.3,"MW","HVR","2019-Q4"
69.5,"MW","HOR","2019-Q4"
5.2,"NE","RVR","2019-Q4"
1.3,"NE","HVR","2019-Q4"
62.3,"NE","HOR","2019-Q4"
8.2,"SO","RVR","2019-Q4"
1.6,"SO","HVR","2019-Q4"
66.7,"SO","HOR","2019-Q4"
6.4,"US","RVR","2019-Q4"
1.4,"US","HVR","2019-Q4"
65.1,"US","HOR","2019-Q4"
0.5,"US","E_HOR","2019-Q4"
0.2,"US","E_RVR","2019-Q4"
0.1,"US","E_HVR","2019-Q4"
4.4,"WE","RVR","2019-Q4"
1.2,"WE","HVR","2019-Q4"
60.3,"WE","HOR","2019-Q4"
7.1,"MW","RVR","2020-Q1"
0.9,"MW","HVR","2020-Q1"
69.2,"MW","HOR","2020-Q1"
5.5,"NE","RVR","2020-Q1"
1,"NE","HVR","2020-Q1"
62.4,"NE","HOR","2020-Q1"
1.4,"SO","HVR","2020-Q1"
67.6,"SO","HOR","2020-Q1"
8.6,"SO","RVR","2020-Q1"
65,"US","SAHOR","2019-Q4"
6.6,"US","RVR","2020-Q1"
1.1,"US","HVR","2020-Q1"
65.3,"US","HOR","2020-Q1"
0.5,"US","E_HOR","2020-Q1"
0.2,"US","E_RVR","2020-Q1"
0.1,"US","E_HVR","2020-Q1"
65.3,"US","SAHOR","2020-Q1"
4.1,"WE","RVR","2020-Q1"
1,"WE","HVR","2020-Q1"
60.1,"WE","HOR","2020-Q1"
6.8,"MW","RVR","2020-Q2"
0.7,"MW","HVR","2020-Q2"
71.4,"MW","HOR","2020-Q2"
4.2,"NE","RVR","2020-Q2"
0.9,"NE","HVR","2020-Q2"
63.3,"NE","HOR","2020-Q2"
7.4,"SO","RVR","2020-Q2"
1,"SO","HVR","2020-Q2"
71.1,"SO","HOR","2020-Q2"
5.7,"US","RVR","2020-Q2"
0.9,"US","HVR","2020-Q2"
67.9,"US","HOR","2020-Q2"
0.5,"US","E_HOR","2020-Q2"
0.2,"US","E_RVR","2020-Q2"
0.1,"US","E_HVR","2020-Q2"
68.1,"US","SAHOR","2020-Q2"
3.8,"WE","RVR","2020-Q2"
0.7,"WE","HVR","2020-Q2"
62.6,"WE","HOR","2020-Q2"
6.9,"MW","RVR","2020-Q3"
0.9,"MW","HVR","2020-Q3"
71.2,"MW","HOR","2020-Q3"
5.6,"NE","RVR","2020-Q3"
1.1,"NE","HVR","2020-Q3"
62,"NE","HOR","2020-Q3"
7.6,"SO","RVR","2020-Q3"
1,"SO","HVR","2020-Q3"
70.8,"SO","HOR","2020-Q3"
6.4,"US","RVR","2020-Q3"
0.9,"US","HVR","2020-Q3"
67.4,"US","HOR","2020-Q3"
0.5,"US","E_HOR","2020-Q3"
0.2,"US","E_RVR","2020-Q3"
0.1,"US","E_HVR","2020-Q3"
67.3,"US","SAHOR","2020-Q3"
5.1,"WE","RVR","2020-Q3"
0.8,"WE","HVR","2020-Q3"
62.1,"WE","HOR","2020-Q3"
7.8,"MW","RVR","2020-Q4"
1.1,"MW","HVR","2020-Q4"
70.8,"MW","HOR","2020-Q4"
5.7,"NE","RVR","2020-Q4"
1.1,"NE","HVR","2020-Q4"
62.6,"NE","HOR","2020-Q4"
7.4,"SO","RVR","2020-Q4"
1.1,"SO","HVR","2020-Q4"
67.7,"SO","HOR","2020-Q4"
6.5,"US","RVR","2020-Q4"
1,"US","HVR","2020-Q4"
65.8,"US","HOR","2020-Q4"
0.5,"US","E_HOR","2020-Q4"
0.2,"US","E_RVR","2020-Q4"
0.1,"US","E_HVR","2020-Q4"
4.7,"WE","RVR","2020-Q4"
0.6,"WE","HVR","2020-Q4"
60.4,"WE","HOR","2020-Q4"
65.7,"US","SAHOR","2020-Q4"
7.9,"MW","RVR","2021-Q1"
0.8,"MW","HVR","2021-Q1"
70.3,"MW","HOR","2021-Q1"
6.8,"NE","RVR","2021-Q1"
0.6,"NE","HVR","2021-Q1"
63.1,"NE","HOR","2021-Q1"
7.5,"SO","RVR","2021-Q1"
1.1,"SO","HVR","2021-Q1"
67.4,"SO","HOR","2021-Q1"
6.8,"US","RVR","2021-Q1"
0.9,"US","HVR","2021-Q1"
65.6,"US","HOR","2021-Q1"
0.5,"US","E_HOR","2021-Q1"
0.2,"US","E_RVR","2021-Q1"
0.1,"US","E_HVR","2021-Q1"
65.6,"US","SAHOR","2021-Q1"
4.9,"WE","RVR","2021-Q1"
0.8,"WE","HVR","2021-Q1"
59.7,"WE","HOR","2021-Q1"
7.3,"MW","RVR","2021-Q2"
0.7,"MW","HVR","2021-Q2"
70.7,"MW","HOR","2021-Q2"
5.6,"NE","RVR","2021-Q2"
0.9,"NE","HVR","2021-Q2"
61.8,"NE","HOR","2021-Q2"
6.9,"SO","RVR","2021-Q2"
1,"SO","HVR","2021-Q2"
67.1,"SO","HOR","2021-Q2"
6.2,"US","RVR","2021-Q2"
0.9,"US","HVR","2021-Q2"
65.4,"US","HOR","2021-Q2"
0.5,"US","E_HOR","2021-Q2"
0.2,"US","E_RVR","2021-Q2"
0.1,"US","E_HVR","2021-Q2"
65.6,"US","SAHOR","2021-Q2"
4.8,"WE","RVR","2021-Q2"
0.8,"WE","HVR","2021-Q2"
60.1,"WE","HOR","2021-Q2"
